label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_um,mean_intensity,max_intensity
257,883.0,393.5,22.0,1.1277777637203432,5.292567428401227,700.1625660489124,199.6818181818182,224.0
258,176.56521739130434,394.60869565217394,23.0,0.927066815774389,5.4115163798060095,715.8985210785033,218.1304347826087,246.0
259,1054.0,395.0,23.0,0.7174584311932684,5.4115163798060095,715.8985210785033,198.04347826086956,226.0
260,64.0909090909091,395.6363636363636,11.0,1.5596762428443343,3.742410318509555,495.08969838615985,137.36363636363637,159.0
261,654.6875,399.6875,16.0,1.221751902157892,4.51351666838205,597.100642588042,189.5,212.0
262,511.7,399.8,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,185.3,204.0
263,389.6666666666667,402.9166666666667,12.0,1.4373655585266916,3.9088200952233594,517.1043250972568,149.58333333333334,175.0
264,647.25,404.6875,16.0,1.2550998818257415,4.51351666838205,597.100642588042,216.875,230.0
265,367.64285714285717,407.42857142857144,14.0,1.0353334664807161,4.222008245644752,558.5365074967536,172.64285714285714,190.0
266,907.3333333333334,408.3333333333333,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,215.0,243.0
267,308.09090909090907,410.3636363636364,11.0,1.5596762428443343,3.742410318509555,495.08969838615985,158.1818181818182,178.0
268,784.4545454545455,414.0,11.0,1.4309831025384843,3.742410318509555,495.08969838615985,221.8181818181818,240.0
269,858.6086956521739,416.69565217391306,23.0,1.063518310946123,5.4115163798060095,715.8985210785033,230.0,248.0
270,1005.8636363636364,418.0,22.0,1.3175850953224135,5.292567428401227,700.1625660489124,152.8181818181818,183.0
271,514.2592592592592,422.6296296296296,27.0,0.9747579606095104,5.863230142835039,775.6564876458852,213.33333333333334,233.0
272,187.16666666666666,422.6666666666667,12.0,1.1165551127934714,3.9088200952233594,517.1043250972568,207.25,224.0
273,1156.5,423.3,10.0,1.760039459412564,3.5682482323055424,472.04950573208737,209.3,227.0
274,791.6363636363636,426.27272727272725,11.0,1.100564574356368,3.742410318509555,495.08969838615985,220.72727272727272,245.0
