label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_nm,refined_diam_px,refined_diam_nm,mean_intensity,max_intensity
83,984.132311717436,988.7981685666231,5351.0,0.7648338451393997,82.5415338110327,222.6904548994614,79.15521447519546,213.55443623691937,39466.7181835171,60138.0
84,1087.8223320158104,937.2683794466403,5060.0,0.8612078705548716,80.26575917762146,216.55059700048852,81.91223628895727,220.99266052870362,41056.664229249014,60652.0
85,1262.2652148551429,77.6290103052693,5143.0,0.7736076734554024,80.92138764611579,218.31943015820875,77.60153584524949,209.36273558761553,38918.335018471706,60138.0
86,1461.418024691358,464.27604938271605,4050.0,0.874530428047649,71.80961047225789,193.73658428531402,76.22866342439683,205.6588356259487,37443.8212345679,56026.0
87,345.628519343731,871.3471743974073,4937.0,0.8546906544991731,79.28419535038176,213.90241631970198,82.53688028783331,222.67790006615127,38815.64128012963,57568.0
88,889.9570990806945,26.959397344228805,3916.0,0.8417934234316824,70.61165666646617,190.50460075359246,70.61165666646617,190.50460075359246,38226.84678243105,57825.0
89,199.6163723916533,608.3489165329053,4984.0,0.800445822143511,79.66069225759999,214.9181748556242,76.39256129318562,206.10101896411138,37388.29193418941,58596.0
90,1229.4136908292799,706.3188990390319,8429.0,0.6116283764396958,103.59602368128174,279.49378421020367,99.34593040204966,268.02737255029786,40528.52497330644,62451.0
91,1464.9826666666668,362.72333333333336,4500.0,0.8289852710873931,75.6939756606048,204.21629081425894,75.6939756606048,204.21629081425894,39878.91844444445,56797.0
92,595.4934740349903,303.83115801166343,3601.0,0.8117323913793427,67.71215253255004,182.6819705606174,63.54525083823926,171.4400031415025,40689.216328797556,59881.0
93,1189.732303990375,639.7385201523962,4987.0,0.7754260244314716,79.68466357834647,214.98284756129254,69.87732036870383,188.52342016913346,40053.29797473431,62708.0
94,1432.024508768223,897.0790196492711,4733.0,0.7797689854422616,77.62887842311987,209.43650367530358,77.62887842311987,209.43650367530358,38212.58229452778,61423.0
95,939.9926695174099,264.6974139686418,4911.0,0.8197028845908645,79.07515035834193,213.33842965477788,75.831041625692,204.58608382278697,38909.67440439829,56540.0
96,980.3742886327155,801.1530716474537,6853.0,0.5683379134594743,93.41044160087282,252.01389860382682,74.24932537505275,200.31873991586232,38662.05545016781,62965.0
97,74.14712153518124,989.1478968792402,5159.0,0.764638462671355,81.04716411626445,218.6587650125522,74.3971403939043,200.7175330115223,40247.923628610195,63736.0
98,1510.4972067039107,679.3829355002539,3938.0,0.7669297762903297,70.80972621869873,191.0389765599517,63.54719019626809,171.44523537431562,36836.492635855764,56797.0
99,1219.8383597309612,438.1742243436754,4609.0,0.775774820886091,76.60522868371561,206.67477857037005,84.46217521537874,227.87219175707463,41477.70340637882,62194.0
100,1229.5583047525722,803.3936795688388,4082.0,0.738469309746784,72.0927445836884,194.50045746722463,82.44452329314109,222.42872828303123,39341.27290543851,62708.0
101,1266.7306530327678,923.4812921217755,4303.0,0.7944225223040449,74.01857713436138,199.69619962233628,67.94525798487531,183.3108704225548,39193.06739484081,58596.0
102,1072.1415724563205,533.2124871531346,3892.0,0.8039223533281628,70.39494518862311,189.91993052329008,60.28695305897467,162.64937639686894,40625.875899280574,63479.0
103,33.13488153882243,492.45906638517476,4263.0,0.7962942132321384,73.67374144975942,198.76586053213495,69.13997274515883,186.53411526861893,40635.600516068494,60909.0
