file,folder,filename,acquired,microscope_type,software_version,image_width_px,image_height_px,HV_kV,spot_size,WD_mm,pixel_width_nm,pixel_height_nm,HFW_um,VFW_um,magnification_x,dwell_time_us,frame_time_s,line_integration,detector_name,detector_signal,vacuum_mode,chamber_pressure_mbar,active_stage,scan_rotation_deg
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\Latex particle_T2_50nm_004.tif,50 nm,Latex particle_T2_50nm_004.tif,02/14/2025 12:22:56 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.93528,0.770833,0.770833,1.184,0.789333,437500.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000202949,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\Latex particle_T2_50nm_005.tif,50 nm,Latex particle_T2_50nm_005.tif,02/14/2025 12:24:47 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.93519,0.770833,0.770833,1.184,0.789333,437500.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000201551,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\500 nm\500nm_T1_01.tif,500 nm,500nm_T1_01.tif,12/17/2025 11:23:11 AM,SEM,13.9.1.6395,1536,1024,2.0,5.0,3.1511500000000003,7.708329999999999,7.708329999999999,11.84,7.89333,43750.0,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000396463,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\500 nm\500nm_T1_02.tif,500 nm,500nm_T1_02.tif,12/17/2025 11:24:49 AM,SEM,13.9.1.6395,1536,1024,2.0,5.0,3.1511500000000003,7.708329999999999,7.708329999999999,11.84,7.89333,43750.0,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000384661,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\500 nm\500nm_T1_03.tif,500 nm,500nm_T1_03.tif,12/17/2025 11:26:59 AM,SEM,13.9.1.6395,1536,1024,2.0,5.0,3.14571,10.7917,10.7917,16.575999999999997,11.0507,31250.000000000004,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000376771,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\500 nm\500nm_T1_04.tif,500 nm,500nm_T1_04.tif,12/17/2025 11:28:51 AM,SEM,13.9.1.6395,1536,1024,2.0,5.0,3.1464000000000003,5.39583,5.39583,8.287999999999998,5.525329999999999,62500.00000000001,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000369043,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\500 nm\500nm_T2_01.tif,500 nm,500nm_T2_01.tif,12/17/2025 11:23:11 AM,SEM,13.9.1.6395,1536,1094,2.0,5.0,3.1511500000000003,7.708329999999999,7.708329999999999,11.84,7.89333,43750.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000396463,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\500 nm\500nm_T2_02.tif,500 nm,500nm_T2_02.tif,12/17/2025 11:24:49 AM,SEM,13.9.1.6395,1536,1094,2.0,5.0,3.1511500000000003,7.708329999999999,7.708329999999999,11.84,7.89333,43750.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000384661,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\500 nm\500nm_T2_03.tif,500 nm,500nm_T2_03.tif,12/17/2025 11:26:59 AM,SEM,13.9.1.6395,1536,1094,2.0,5.0,3.14571,10.7917,10.7917,16.575999999999997,11.0507,31250.000000000004,5.0,31.7545,4.0,T2,SE,High vacuum,0.000376771,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\500 nm\500nm_T2_04.tif,500 nm,500nm_T2_04.tif,12/17/2025 11:28:51 AM,SEM,13.9.1.6395,1536,1094,2.0,5.0,3.1464000000000003,5.39583,5.39583,8.287999999999998,5.525329999999999,62500.00000000001,5.0,31.7545,4.0,T2,SE,High vacuum,0.000369043,Bulk,0.241014
